metric,fixed_price,dynamic_price,absolute_change,relative_change
initial_plan_kwh,22669944.355679993,22724166.712166466,54222.35648647323,0.002391816920048493
executed_grid_kwh,22669944.355679993,22724166.712166466,54222.35648647323,0.002391816920048493
emergency_kwh,241098.83950619938,240877.05746391416,-221.78204228522372,-0.000919880173373962
total_grid_kwh,22911043.19518619,22965043.76963038,54000.57444418967,0.002356967074093582
plan_cost,13864652.059188703,14344683.428844314,480031.369655611,0.03462267697785272
adjustment_cost,0.0,0.0,0.0,
emergency_cost,824631.3021286941,920987.0276031895,96355.72547449532,0.1168470384592044
total_cost,14689283.361317398,15265670.456447504,576387.0951301064,0.03923861232386313
charge_kwh,6147252.098249587,6465945.683866164,318693.5856165765,0.05184325947968257
discharge_kwh,4979274.199582166,5237416.003931593,258141.8043494271,0.051843259479682595
battery_throughput_kwh,11126526.297831753,11703361.687797757,576835.3899660036,0.05184325947968258
up_adjust_kwh,0.0,0.0,0.0,
down_adjust_kwh,0.0,0.0,0.0,
emergency_day,267.0,261.0,-6.0,-0.02247191011235955
days,334,334,0,0.0
max_daily_cost,88885.1863587733,101947.53570475677,13062.349345983472,0.1469575514333629
mean_price,0.7661972222222221,0.7575275199600798,-0.008669702262142254,-0.011315235830531057
