date,soc_00,soc_06,soc_12,soc_18,soc_24,selected_policy
2025-02-01,6000.0,10800.0,6450.0,10800.0,10780.98425925926,day_ahead
2025-02-02,10780.98425925926,10800.0,6450.0,9973.320370370371,5550.0,day_ahead
2025-02-03,5550.0,10800.0,6450.0,9980.68888888889,6450.0,day_ahead
2025-02-04,6450.0,10800.0,6450.0,10800.0,4050.0,day_ahead
2025-02-05,4050.0,10800.0,6450.0,10800.0,7050.0,day_ahead
2025-02-06,7050.0,10800.0,7050.0,9973.448148148149,1950.0,day_ahead
2025-02-07,1950.0,10800.0,6450.0,10246.335314814816,4050.0,day_ahead
2025-02-08,4050.0,10800.0,7050.0,9980.68888888889,10800.0,day_ahead
2025-02-09,10800.0,10800.0,6450.0,10800.0,6450.0,day_ahead
2025-02-10,6450.0,10800.0,6450.0,10800.0,7950.0,day_ahead
2025-02-11,7950.0,10800.0,6450.0,9980.68888888889,4950.0,day_ahead
2025-02-12,4950.0,10800.0,6450.0,9980.68888888889,6450.0,day_ahead
2025-02-13,6450.0,10800.0,6450.0,10800.0,1950.0,day_ahead
2025-02-14,1950.0,10800.0,6450.0,9981.925925925925,7200.0,day_ahead
2025-02-15,7200.0,9874.074074074075,6450.0,9981.925925925925,10200.0,day_ahead
2025-02-16,10200.0,10800.0,6450.0,10800.0,6450.0,day_ahead
2025-02-17,6450.0,10116.464648148149,6450.0,10800.0,4800.0,day_ahead
2025-02-18,4800.0,10800.0,7050.0,10800.0,6300.0,day_ahead
2025-02-19,6300.0,9874.074074074075,6450.0,9981.925925925925,6300.0,day_ahead
2025-02-20,6300.0,9874.074074074075,6450.0,9984.235185185185,2700.0,day_ahead
2025-02-21,2700.0,9874.074074074075,6450.0,9984.235185185185,4950.0,day_ahead
2025-02-22,4950.0,9874.074074074075,6450.0,9984.846296296297,10200.0,day_ahead
2025-02-23,10200.0,10800.0,6450.0,9984.846296296297,6450.0,day_ahead
2025-02-24,6450.0,10800.0,6627.073499999997,10132.199037037037,6450.0,day_ahead
2025-02-25,6450.0,9874.074074074075,7050.0,9984.846296296297,6450.0,day_ahead
2025-02-26,6450.0,9964.885425925924,6848.601277777776,10143.593407407408,7050.0,day_ahead
2025-02-27,7050.0,10800.0,6450.0,9984.846296296297,1950.0,day_ahead
2025-02-28,1950.0,10800.0,6450.0,9996.74074074074,5700.0,day_ahead
2025-03-01,5700.0,10800.0,6450.0,10800.0,10200.0,day_ahead
2025-03-02,10200.0,10800.0,7050.0,9998.138888888889,5700.0,day_ahead
2025-03-03,5700.0,10800.0,6981.250222222223,10800.0,7050.0,day_ahead
2025-03-04,7050.0,10800.0,6450.0,9998.138888888889,5700.0,day_ahead
2025-03-05,5700.0,9874.074074074075,6701.632240740741,9998.138888888889,6450.0,day_ahead
2025-03-06,6450.0,10800.0,7050.0,10800.0,1950.0,day_ahead
2025-03-07,1950.0,10605.136814814812,6654.544212962959,10800.0,6450.0,day_ahead
2025-03-08,6450.0,9874.074074074075,7048.152749999999,10116.689074074075,10200.0,day_ahead
2025-03-09,10200.0,10800.0,7022.27361,10097.989425925925,7200.0,day_ahead
2025-03-10,7200.0,9874.074074074075,7005.013859999999,10800.0,4200.0,day_ahead
2025-03-11,4200.0,9874.074074074075,6450.0,10006.977777777778,6232.664611111111,day_ahead
2025-03-12,6232.664611111111,9874.074074074075,6450.0,10006.977777777778,4950.0,day_ahead
2025-03-13,4950.0,9874.074074074075,6502.897684814817,10800.0,1200.0,day_ahead
2025-03-14,1200.0,9874.074074074075,6688.1098246296315,10007.261111111111,7033.214814814815,day_ahead
2025-03-15,7033.214814814815,9874.074074074075,6456.28737,10004.60925925926,10200.0,day_ahead
2025-03-16,10200.0,9874.074074074075,6847.980561296297,10004.60925925926,4200.0,day_ahead
2025-03-17,4200.0,9874.074074074075,6459.000765,10004.60925925926,4950.0,day_ahead
2025-03-18,4950.0,10239.293129629628,6459.000765,9996.74074074074,5537.833333333334,day_ahead
2025-03-19,5537.833333333334,9874.074074074075,6459.000765,9996.74074074074,7050.0,day_ahead
2025-03-20,7050.0,9874.074074074075,6465.68655,10800.0,1950.0,day_ahead
2025-03-21,1950.0,9874.074074074075,6478.17978,10800.0,6208.77975925926,day_ahead
2025-03-22,6208.77975925926,9874.074074074075,6479.71674,10800.0,10050.0,day_ahead
2025-03-23,10050.0,9874.074074074075,6479.71674,9996.74074074074,4950.0,day_ahead
2025-03-24,4950.0,9874.074074074075,6860.427104999999,9996.74074074074,5550.0,day_ahead
2025-03-25,5550.0,9874.074074074075,6846.064396666667,10800.0,3300.0,day_ahead
2025-03-26,3300.0,9874.074074074075,6871.118159999998,9996.366666666667,7200.0,day_ahead
2025-03-27,7200.0,9874.074074074075,6521.330775,9996.366666666667,1950.0,day_ahead
2025-03-28,1950.0,9878.47037037037,6521.88414,10110.572037037036,7950.0,day_ahead
2025-03-29,7950.0,9881.094444444445,6479.71674,9996.366666666667,10200.0,day_ahead
2025-03-30,10200.0,9885.06111111111,6861.987659999999,10800.0,7200.0,day_ahead
2025-03-31,7200.0,9891.412962962962,6861.987659999999,10800.0,4950.0,day_ahead
2025-04-01,4950.0,9891.412962962962,6861.987659999999,9996.366666666667,7200.0,day_ahead
2025-04-02,7200.0,9885.06111111111,6479.71674,10800.0,7200.0,day_ahead
2025-04-03,7200.0,9891.412962962962,6610.81125,10800.0,1950.0,day_ahead
2025-04-04,1950.0,9891.558333333332,6589.355175,10800.0,6450.0,day_ahead
2025-04-05,6450.0,9885.06111111111,6592.8198,10002.5625,10200.0,day_ahead
2025-04-06,10200.0,9904.794444444444,6608.640375,10800.0,4950.0,day_ahead
2025-04-07,4950.0,9904.794444444444,6619.225875,10800.0,4950.0,day_ahead
2025-04-08,4950.0,9904.794444444444,6592.8198,10800.0,5550.0,day_ahead
2025-04-09,5550.0,9904.794444444444,6592.8198,10009.153703703703,4200.0,day_ahead
2025-04-10,4200.0,9904.794444444444,6607.306875,10098.57496296296,1950.0,day_ahead
2025-04-11,1950.0,9904.794444444444,6542.21529,10010.461574074074,5812.372611111111,day_ahead
2025-04-12,5812.372611111111,9891.558333333332,6688.57854,10800.0,9450.0,day_ahead
