date,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost
2025-02-01,101672.51133251027,0.0,101672.51133251027,53708.669096609316,0.0,53708.669096609316
2025-02-02,90447.45026666665,11.659166666666692,90459.10943333332,65458.755624026664,74.13060875000018,65532.88623277666
2025-02-03,96468.84757160491,15.482799999999997,96484.33037160491,68961.00349575018,38.90847079999999,68999.91196655018
2025-02-04,93133.92519074073,70.90808333333337,93204.83327407406,67581.35257679038,237.68117220833352,67819.03374899871
2025-02-05,99141.88498333332,7.671133333333273,99149.55611666666,70047.49278038999,31.405484541666624,70078.89826493166
2025-02-06,89744.00989999999,8.250066666666385,89752.25996666665,65784.56510285665,46.89447456666532,65831.45957742332
2025-02-07,97830.32620493826,0.0,97830.32620493826,50612.45429888586,0.0,50612.45429888586
2025-02-08,101950.85286666665,0.0,101950.85286666665,52172.440579816655,0.0,52172.440579816655
2025-02-09,89079.91541666666,79.36373333333341,89159.27914999999,64527.91479920165,312.9689581833335,64840.88375738498
2025-02-10,95258.45313127572,18.441833333333307,95276.89496460905,65164.71589764173,88.25043824999982,65252.966335891724
2025-02-11,90327.40062325101,3.1183333333333394,90330.51895658435,63648.79240079886,14.484658333333362,63663.2770591322
2025-02-12,95282.29419999999,21.02095000000031,95303.31515,65513.781593673324,115.3908499833349,65629.17244365666
2025-02-13,88237.55463395061,35.784116666666705,88273.33875061727,61412.390840779444,177.2851998916671,61589.67604067111
2025-02-14,98363.0548164609,0.0,98363.0548164609,49880.83822807481,0.0,49880.83822807481
2025-02-15,95404.93101666665,0.0,95404.93101666665,49525.322915853336,0.0,49525.322915853336
2025-02-16,87322.79609999998,66.3508499999997,87389.14694999998,61641.412297095,345.7543161333311,61987.16661322833
2025-02-17,88609.27250679012,97.19138333333308,88706.46389012346,61242.752392124625,499.5027976833313,61742.255189807955
2025-02-18,91978.16086337448,27.150666666666666,92005.31153004114,62030.938038977445,173.17330716666666,62204.11134614411
2025-02-19,90944.58627510288,185.4563500000006,91130.04262510288,61316.19557772806,762.4610025000036,62078.65658022806
2025-02-20,85795.47333333333,133.30206666666675,85928.7754,59715.257715045,661.9213671666671,60377.17908221167
2025-02-21,91400.03153230452,0.0,91400.03153230452,45710.19706353471,0.0,45710.19706353471
2025-02-22,94672.8310090535,0.0,94672.8310090535,47512.71895180403,0.0,47512.71895180403
2025-02-23,83242.14861810699,121.26956666666695,83363.41818477366,57240.64163418325,425.0994337916667,57665.741067974915
2025-02-24,86459.23471666666,170.39568333333375,86629.6304,57964.003213658325,866.3855697583349,58830.38878341666
2025-02-25,86296.95069609053,155.4163000000001,86452.36699609052,56968.87313720248,624.6927147999997,57593.56585200248
2025-02-26,87038.93427530862,77.3705666666666,87116.30484197529,58146.161232380175,305.6989994749994,58451.86023185517
2025-02-27,80008.86659999998,88.19023333333314,80097.0568333333,53560.798094463324,520.7188180499992,54081.516912513325
2025-02-28,89340.67141707818,0.0,89340.67141707818,43653.43252659539,0.0,43653.43252659539
2025-03-01,89184.3446563786,0.0,89184.3446563786,43263.40162067425,0.0,43263.40162067425
2025-03-02,78960.56088662552,1583.2089499999997,80543.76983662552,53354.557211320076,7300.996707391664,60655.55391871174
2025-03-03,83850.36863539094,567.597283333333,84417.96591872428,54830.345573430655,2727.911576058332,57558.257149488985
2025-03-04,81257.05308950617,219.95293333333342,81477.0060228395,53823.19370267926,773.2841377833333,54596.47784046259
2025-03-05,83727.11635,142.22481666666727,83869.34116666667,53903.252979033336,726.5882601250031,54629.84123915834
