policy,date,initial_plan_kwh,executed_adjusted_kwh,emergency_kwh,actual_grid_energy_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,up_adjust_kwh,down_adjust_kwh
0,2025-02-01,60775.4398053866,60775.4398053866,0.0,60775.4398053866,34221.86316844639,0.0,0.0,34221.86316844639,0.0,0.0
0,2025-02-02,90616.31406086122,90616.31406086122,103.85796022013903,90720.17202108135,56954.86327755812,0.0,532.6119770477318,57487.47525460585,0.0,0.0
0,2025-02-03,94367.68295613486,94367.68295613486,76.70599834088739,94444.38895447574,59554.249536108946,0.0,277.43310462523857,59831.68264073419,0.0,0.0
0,2025-02-04,96625.33468757314,96625.33468757314,96.54111202998502,96721.87579960312,61678.987344691486,0.0,206.01837403801673,61885.0057187295,0.0,0.0
0,2025-02-05,91926.46472685086,91926.46472685086,265.6005258521318,92192.06525270299,58372.10649571552,0.0,657.7469788763002,59029.853474591815,0.0,0.0
0,2025-02-06,98594.35972529966,98594.35972529966,27.41468356081043,98621.77440886047,63144.42190974785,0.0,58.649320179169116,63203.071229927016,0.0,0.0
0,2025-02-07,61428.95743155162,61428.95743155162,0.0,61428.95743155162,34802.32515884903,0.0,0.0,34802.32515884903,0.0,0.0
0,2025-02-08,49434.834051502825,49434.834051502825,6.831232927003384,49441.66528442983,26941.03884774468,0.0,19.407532745616617,26960.446380490295,0.0,0.0
0,2025-02-09,86340.69850481907,86340.69850481907,1035.5479405021188,87376.24644532119,53862.55888904544,0.0,4004.1689784324117,57866.72786747785,0.0,0.0
0,2025-02-10,84599.09238360911,84599.09238360911,177.00175413779243,84776.0941377469,52809.06523855729,0.0,614.5625301492136,53423.6277687065,0.0,0.0
0,2025-02-11,86136.30657064392,86136.30657064392,378.25712654552206,86514.56369718944,54233.51467663057,0.0,879.7453447665987,55113.26002139717,0.0,0.0
0,2025-02-12,87622.03751379589,87622.03751379589,101.82749006045849,87723.86500385635,55100.369947672916,0.0,405.41271289776137,55505.78266057068,0.0,0.0
0,2025-02-13,82885.11571783133,82885.11571783133,100.12441674708339,82985.24013457842,51627.18787836937,0.0,225.84554267788474,51853.03342104725,0.0,0.0
0,2025-02-14,53064.593207573744,53064.593207573744,0.0,53064.593207573744,29236.394464637437,0.0,0.0,29236.394464637437,0.0,0.0
0,2025-02-15,50146.84780666194,50146.84780666194,0.0,50146.84780666194,27358.582349626366,0.0,0.0,27358.582349626366,0.0,0.0
0,2025-02-16,82700.67031604132,82700.67031604132,1036.6298209000925,83737.30013694141,51249.85901180208,0.0,4049.0866230159213,55298.945634818,0.0,0.0
0,2025-02-17,83879.98135842728,83879.98135842728,414.9206613187808,84294.90201974606,51801.18977417722,0.0,1433.6561223364267,53234.845896513645,0.0,0.0
0,2025-02-18,76440.87028607947,76440.87028607947,1821.464643958266,78262.33493003774,47371.05825579073,0.0,6137.10300712489,53508.16126291562,0.0,0.0
0,2025-02-19,78320.66305155348,78320.66305155348,708.7523879527014,79029.41543950618,48638.117908688306,0.0,1976.0431141992672,50614.16102288757,0.0,0.0
0,2025-02-20,82210.99046438024,82210.99046438024,140.12296936994085,82351.11343375019,50805.60525063781,0.0,516.7330116520404,51322.33826228985,0.0,0.0
0,2025-02-21,49195.27969699985,49195.27969699985,0.0,49195.27969699985,26863.1535564823,0.0,0.0,26863.1535564823,0.0,0.0
0,2025-02-22,46936.73435908945,46936.73435908945,42.397602535746955,46979.1319616252,25603.05733457162,0.0,90.64607422142699,25693.703408793044,0.0,0.0
0,2025-02-23,75624.55437390725,75624.55437390725,2397.008572028048,78021.5629459353,46018.354640704565,0.0,9208.680487399857,55227.03512810442,0.0,0.0
0,2025-02-24,74726.2771575491,74726.2771575491,422.8551435328678,75149.13230108198,46221.66419902035,0.0,1521.8343772795165,47743.49857629987,0.0,0.0
0,2025-02-25,79107.35081659639,79107.35081659639,340.40428635115074,79447.75510294754,48679.106733305816,0.0,946.7704758875203,49625.877209193335,0.0,0.0
0,2025-02-26,73181.78473616214,73181.78473616214,1468.230458327757,74650.0151944899,44741.36641214122,0.0,4709.536032331123,49450.90244447235,0.0,0.0
0,2025-02-27,75315.63347431904,75315.63347431904,338.1001621076276,75653.73363642667,46392.505484345675,0.0,1181.3488494596195,47573.85433380529,0.0,0.0
0,2025-02-28,44891.49460308283,44891.49460308283,0.0,44891.49460308283,24941.135674994573,0.0,0.0,24941.135674994573,0.0,0.0
0,2025-03-01,51453.48171655876,51453.48171655876,5.684341886080802e-14,51453.48171655876,27824.893393645183,0.0,1.4281908988778012e-13,27824.893393645183,0.0,0.0
0,2025-03-02,79131.29876902138,79131.29876902138,892.1719989595107,80023.47076798089,48529.10135505311,0.0,3415.0547114325564,51944.156066485666,0.0,0.0
0,2025-03-03,82842.98351427677,82842.98351427677,1186.8078426300917,84029.79135690686,51093.986150533885,0.0,4516.074854306093,55610.061004839976,0.0,0.0
0,2025-03-04,75138.35534756836,75138.35534756836,1735.1903956907806,76873.54574325914,46261.54634959895,0.0,4956.033111009225,51217.579460608176,0.0,0.0
0,2025-03-05,80386.68376950361,80386.68376950361,54.83206255836899,80441.51583206198,49633.96517198524,0.0,123.90348675331128,49757.86865873855,0.0,0.0
0,2025-03-06,75356.22084205417,75356.22084205417,107.71027699428657,75463.93111904846,46260.38894814418,0.0,377.3746007514507,46637.76354889563,0.0,0.0
0,2025-03-07,49432.96975377563,49432.96975377563,0.0,49432.96975377563,27557.63526502577,0.0,0.0,27557.63526502577,0.0,0.0
0,2025-03-08,39457.54715677866,39457.54715677866,0.0,39457.54715677866,21920.01042315495,0.0,0.0,21920.01042315495,0.0,0.0
0,2025-03-09,73557.47870248424,73557.47870248424,774.5124447498513,74331.99114723409,44369.7571337393,0.0,2853.4950345309117,47223.25216827021,0.0,0.0
0,2025-03-10,72068.79031076506,72068.79031076506,1687.1449746086373,73755.93528537371,43420.04443474075,0.0,6446.106434846506,49866.150869587254,0.0,0.0
0,2025-03-11,66117.50836996958,66117.50836996958,3829.574564862945,69947.08293483252,40391.683871319205,0.0,10449.869525409948,50841.553396729156,0.0,0.0
0,2025-03-12,76810.3559726864,76810.3559726864,265.15035111163184,77075.50632379804,47133.76607783251,0.0,690.7749638023598,47824.54104163487,0.0,0.0
0,2025-03-13,77054.23100501896,77054.23100501896,655.3205585027346,77709.55156352169,47121.81271267545,0.0,2071.6914245831977,49193.50413725864,0.0,0.0
0,2025-03-14,41247.4078787918,41247.4078787918,0.0,41247.4078787918,23074.210661554458,0.0,0.0,23074.210661554458,0.0,0.0
0,2025-03-15,41653.15640362384,41653.15640362384,52.65799457351329,41705.814398197355,22409.510124781074,0.0,112.52409976225476,22522.034224543328,0.0,0.0
0,2025-03-16,68768.8280740242,68768.8280740242,1543.6632676911374,70312.49134171534,41743.40454003137,0.0,4650.253439650306,46393.65797968167,0.0,0.0
0,2025-03-17,67087.71808780098,67087.71808780098,1065.676937538114,68153.3950253391,39866.69408015713,0.0,3987.3497817697507,43854.04386192688,0.0,0.0
0,2025-03-18,77310.50468895322,77310.50468895322,114.70201485100552,77425.20670380423,47439.4626714622,0.0,285.04490981951494,47724.507581281716,0.0,0.0
0,2025-03-19,64531.994646522115,64531.994646522115,1670.8358187552803,66202.8304652774,39387.55728122582,0.0,4694.372402790215,44081.92968401603,0.0,0.0
0,2025-03-20,73832.04950476668,73832.04950476668,631.8903959104736,74463.93990067716,45372.24383879981,0.0,1488.4849274961389,46860.72876629595,0.0,0.0
0,2025-03-21,39899.89995869213,39899.89995869213,0.0,39899.89995869213,22448.041512315656,0.0,0.0,22448.041512315656,0.0,0.0
0,2025-03-22,39622.305296217106,39622.305296217106,13.477208140217499,39635.782504357325,21962.93024398051,0.0,28.814271003785013,21991.744514984297,0.0,0.0
0,2025-03-23,70100.27247355877,70100.27247355877,824.1320247965195,70924.40449835529,42300.182384769796,0.0,3130.4722517273667,45430.654636497165,0.0,0.0
0,2025-03-24,67747.26937784991,67747.26937784991,587.6220710722658,68334.89144892218,40688.54649500365,0.0,1859.642421539013,42548.18891654266,0.0,0.0
0,2025-03-25,75857.66704079992,75857.66704079992,389.20352979515883,76246.87057059509,46108.628894428315,0.0,969.6564233736118,47078.28531780193,0.0,0.0
0,2025-03-26,67103.88277461681,67103.88277461681,218.23110811036815,67322.11388272718,40678.285361641654,0.0,482.517661858886,41160.80302350054,0.0,0.0
0,2025-03-27,71176.6807909442,71176.6807909442,224.968864113088,71401.64965505729,43491.56000061828,0.0,489.22057120788844,43980.780571826166,0.0,0.0
0,2025-03-28,40221.16014698924,40221.16014698924,0.0,40221.16014698924,22128.824634840697,0.0,0.0,22128.824634840697,0.0,0.0
0,2025-03-29,36081.39407984365,36081.39407984365,2.7624990039485056,36084.1565788476,19570.79988779134,0.0,11.424314630829043,19582.22420242217,0.0,0.0
0,2025-03-30,64418.99702240604,64418.99702240604,1515.419654459403,65934.41667686544,38085.89156851171,0.0,5060.5888144261735,43146.48038293788,0.0,0.0
0,2025-03-31,58189.61866104347,58189.61866104347,4196.153495644319,62385.77215668779,35101.942291290165,0.0,11999.396598090327,47101.338889380495,0.0,0.0
0,2025-04-01,72603.82893279697,72603.82893279697,745.8450118286138,73349.67394462558,43105.4507170811,0.0,2320.183278412137,45425.633995493234,0.0,0.0
0,2025-04-02,70497.37327005627,70497.37327005627,415.0830743970839,70912.45634445336,42255.229097391195,0.0,1458.0147728101529,43713.243870201346,0.0,0.0
0,2025-04-03,71756.97581421041,71756.97581421041,111.9354601234379,71868.91127433385,43905.77409289214,0.0,266.2577660996278,44172.031858991766,0.0,0.0
0,2025-04-04,37669.62551306215,37669.62551306215,0.0,37669.62551306215,20736.3604411579,0.0,0.0,20736.3604411579,0.0,0.0
0,2025-04-05,34971.29652596393,34971.29652596393,33.474926757413485,35004.77145272135,18974.78349918001,0.0,122.31738237158888,19097.100881551596,0.0,0.0
0,2025-04-06,63389.2197512622,63389.2197512622,994.2987744217297,64383.51852568393,37052.34046020877,0.0,4351.893657130533,41404.2341173393,0.0,0.0
0,2025-04-07,58706.19407796519,58706.19407796519,2523.197108298733,61229.39118626392,34626.77762947776,0.0,8125.789354173383,42752.56698365114,0.0,0.0
0,2025-04-08,67939.87603838721,67939.87603838721,213.70603474164614,68153.58207312885,40876.14760734256,0.0,967.419428314266,41843.56703565682,0.0,0.0
