date,initial_plan_kwh,executed_adjusted_kwh,emergency_kwh,actual_grid_energy_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,up_adjust_kwh,down_adjust_kwh
2025-02-01,88313.7831361111,85783.01921654664,0.0,85783.01921654664,47986.79201350166,-420.05111700560497,0.0,47566.740896496056,1174.6218236111113,3705.385743175585
2025-02-02,91727.98990987655,89327.50559112449,13.547216666666372,89341.05280779116,64470.04635459725,-1002.9982162868173,85.91360440833157,63552.96174271876,7.174727777777889,2407.659046529833
2025-02-03,95081.68229711935,90490.47293948612,147.55984444444405,90638.03278393057,68003.37395137058,-2050.504966647063,792.6510444409703,66745.52002916449,0.0,4591.20935763323
2025-02-04,97729.71052638888,93601.93461292866,74.55737638888908,93676.49198931754,70383.6049631486,-1839.9500135025387,254.45746191041735,68798.11241155647,0.0,4127.775913460218
2025-02-05,93139.73109315842,92431.2035579904,19.038234722222228,92450.24179271262,66127.53915180164,-231.80868879176967,98.65372676666698,65994.38418977654,101.98953611111136,810.5170712791562
2025-02-06,97942.3542890432,91675.53830570988,19.80902916666605,91695.34733487654,70510.10215170441,-2900.6059938376375,109.64879955833007,67719.1449574251,0.0,6266.81598333333
2025-02-07,94981.44368566529,90446.40410296638,0.0,90446.40410296638,49444.76832025939,-1247.9229269573163,0.0,48196.84539330207,100.94902638888877,4635.9886090877935
2025-02-08,86131.08636893003,88774.84558705504,0.0,88774.84558705504,44266.72016059985,1832.1721594225282,0.0,46098.89232002238,2652.8718889583306,9.112670833333368
2025-02-09,91644.6528730967,90646.13102813941,11.187437499999874,90657.31846563942,65215.62813146753,-434.47617278473336,61.9392477187493,64843.09120640154,9.968840125000725,1008.4906850823077
2025-02-10,88508.93580855624,84414.23711131327,155.49403749999954,84569.73114881327,60121.529879179994,-225.3193949231295,615.790842286803,60512.00132654367,1736.8416917181075,5831.540388961075
2025-02-11,89665.70846541494,85026.06616740397,22.432354166666777,85048.49852157064,61907.83822229243,-1992.7902525299044,102.93781634791762,60017.98578611044,0.0,4639.6422980109755
2025-02-12,89749.8886625,85341.31310277779,29.980573902779156,85371.29367668057,61348.55399661347,-1809.2548641823585,164.7833506590769,59704.082483090184,0.0,4408.575559722217
2025-02-13,84774.25328629972,81758.97496231139,58.441540277777676,81817.41650258917,56341.69473217259,-955.1925942849324,292.65367537083284,55679.15581325849,241.3852097565084,3256.6635337448492
2025-02-14,87124.40912245832,85977.63680239831,0.0,85977.63680239831,44399.32056921395,22.406958674503713,0.0,44421.727527888455,599.5690103566562,1746.3413304166659
2025-02-15,88552.4455344136,83476.90072352537,0.0,83476.90072352537,45428.35074986556,-1361.228367120356,0.0,44067.122382745205,39.41319166666665,5114.958002554869
2025-02-16,90082.98529202674,84164.77716805556,264.7813722222215,84429.55854027778,61681.1867738624,-2486.2708316679914,1148.193376021524,60343.10931821593,0.0,5918.208123971188
2025-02-17,88902.49764067214,81120.09863743467,156.95512777777716,81277.05376521245,60192.80498496136,-3009.921884295124,706.3405663881914,57889.22366705443,59.559115541666756,7841.958118779153
2025-02-18,79930.58579803602,81208.70222120266,352.1846236111102,81560.88684481378,52736.31517230955,1267.931825571945,1705.9899608715225,55710.23695875302,1278.1164231666628,0.0
2025-02-19,80695.44784765088,81054.40842681755,375.32385972222187,81429.73228653977,53150.77144876859,474.93739603104177,1599.7192723402763,55225.428117139905,528.5482263888891,169.5876472222219
2025-02-20,83047.4469888889,81147.21029606671,277.1684569444438,81424.37875301116,55440.8020142675,116.92922455108072,1437.8066558381915,56995.53789465677,831.9914388888881,2732.228131711078
2025-02-21,81477.60939231823,81726.43203635115,0.0,81726.43203635115,40659.698463543864,795.378050927283,0.0,41455.07651447115,1395.7533431755858,1146.930699142667
2025-02-22,83388.46996682098,82645.88056498628,2.80499999999995,82648.68556498627,41879.852216932115,31.55442661021243,5.635244999999899,41917.04188854233,412.6316430555561,1155.2210448902629
2025-02-23,81173.03184720507,79210.15390787364,496.3390736111103,79706.49298148474,53722.56247364691,-486.87881324115716,2020.4569537277744,55256.140614133525,409.04853607681963,2371.9264754082624
2025-02-24,77547.40270301784,78790.82320024006,241.28977916666645,79032.11297940672,51200.31692911861,1209.162837431945,1259.3463904124987,53668.82615696306,1758.2081736111118,514.7876763888888
2025-02-25,79743.57426930728,75271.80768565295,231.53193194444182,75503.33961759739,51842.95174823431,-1508.344901523807,1033.4353855402628,51368.042232250766,272.04158337500184,4743.8081670293195
2025-02-26,74034.02090418382,76341.80347030556,481.7978694444429,76823.60133975,47689.85321774613,2442.4209089276223,2238.609776465271,52370.88390313902,2307.7825661217407,0.0
2025-02-27,74933.64541941014,75074.16222832647,359.70594027777634,75433.86816860425,47614.29276620577,651.128489957082,1867.815921204159,50133.23717736701,684.0830394718829,543.5662305555554
2025-02-28,75640.50861868999,76839.67107007888,0.0,76839.67107007888,36572.1622594597,1052.600260237429,0.0,37624.76251969713,1357.7895388888876,158.6270875000007
2025-03-01,86017.10714686214,79204.02685144033,0.0,79204.02685144033,42153.03256295757,-1383.9776926602526,0.0,40769.05487029732,668.4476046639185,7481.52790008573
2025-03-02,83529.86149750616,84250.0958001118,265.74075277777627,84515.83655288958,54891.88320943898,1270.3547441979626,1386.5347290513803,57548.77268268832,1097.288741494515,377.0544388888891
2025-03-03,84469.72479038066,81312.2358979501,479.27656249999916,81791.5124604501,55767.367449461555,-242.67864377482505,2356.6590446555547,57881.34785034229,1043.4997763888896,4200.988668819444
2025-03-04,76025.71255829629,77780.6279527987,802.9769486111095,78583.60490140981,49139.735246578995,1995.5599037451966,3119.1033639256875,54254.39851424988,1754.9153945024023,0.0
