date,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost
2025-02-01,91319.88240267489,0.0,91319.88240267489,59550.81169821527,0.0,59550.81169821527
2025-02-02,96156.97111049382,13.37651666666659,96170.34762716049,61497.11393214771,83.81870001666618,61580.932632164375
2025-02-03,95684.23306707817,15.482799999999997,95699.71586707816,61140.81467060337,33.45258539999999,61174.267256003375
2025-02-04,95690.68906707817,70.90808333333337,95761.5971504115,61143.6049655367,231.47483900000017,61375.079804536705
2025-02-05,95703.18110041152,10.173350000000028,95713.35445041151,61152.4055656967,45.95532287500053,61198.360888571704
2025-02-06,95327.04245185184,7.920949999999834,95334.96340185184,60867.596455240186,47.699030091666046,60915.29548533185
2025-02-07,95017.54570185184,0.0,95017.54570185184,60627.56211540351,0.0,60627.56211540351
2025-02-08,94522.57664115225,0.0,94522.57664115225,60251.20161799577,0.0,60251.20161799577
2025-02-09,94087.78614958847,79.36373333333341,94167.1498829218,59928.46321935328,203.21408260833334,60131.677301961616
2025-02-10,93626.70222304526,22.992166666666776,93649.69438971192,59615.41906371397,120.62643358333409,59736.0454972973
2025-02-11,93642.42088971194,3.1183333333333394,93645.53922304527,59629.88349958063,14.610950833333362,59644.494450413964
2025-02-12,93638.31088971192,20.74595000000022,93659.05683971192,59628.26617608064,116.48984622500114,59744.756022305635
2025-02-13,93029.8911020576,31.322450000000117,93061.21355205761,59149.505383616866,148.6056965416676,59298.11108015853
2025-02-14,92706.25444876542,0.0,92706.25444876542,58914.729214459876,0.0,58914.729214459876
2025-02-15,92074.82079999999,0.0,92074.82079999999,58434.375853825,0.0,58434.375853825
2025-02-16,91402.78283333333,69.75418333333289,91472.53701666667,57914.060936825,360.114653091664,58274.17558991667
2025-02-17,90473.85093333333,96.11098333333314,90569.96191666667,57199.529026145,503.7237782666656,57703.25280441166
2025-02-18,90513.33103333332,21.16188333333332,90534.49291666666,57231.95656753666,138.01133914166664,57369.96790667833
2025-02-19,90518.67093333333,176.93576666666718,90695.60669999999,57238.861754235,707.86664989167,57946.72840412667
2025-02-20,89829.58859999999,124.62576666666666,89954.21436666665,56718.23854692166,616.1341713166664,57334.37271823833
2025-02-21,88935.92438045266,0.0,88935.92438045266,56067.40306867815,0.0,56067.40306867815
2025-02-22,88494.81301872428,0.0,88494.81301872428,55738.8743613687,0.0,55738.8743613687
2025-02-23,87452.55519958847,119.95290000000034,87572.50809958848,54943.93579216259,403.03711500000026,55346.97290716259
2025-02-24,86608.60791810698,165.08623333333367,86773.69415144032,54331.69085150592,863.454786016668,55195.14563752259
2025-02-25,86645.18386810698,138.87409999999988,86784.05796810698,54364.32790590425,558.7985027749992,54923.12640867924
2025-02-26,86667.06093477365,77.04033333333348,86744.10126810698,54384.03579523258,285.674480533334,54669.710275765916
2025-02-27,85880.65968065843,79.35529999999983,85960.01498065842,53805.110189820174,466.92366134999963,54272.03385117017
2025-02-28,85236.06511954732,0.0,85236.06511954732,53378.14259862685,0.0,53378.14259862685
2025-03-01,84118.42793353909,0.0,84118.42793353909,52589.819672885365,0.0,52589.819672885365
2025-03-02,83323.02247530864,1655.430883333333,84978.45335864197,52032.48677653024,6575.142114574998,58607.62889110524
2025-03-03,82631.04945761316,502.1267333333331,83133.1761909465,51565.132905969425,2211.2717699749987,53776.404675944425
2025-03-04,82790.65269588477,183.4862500000005,82974.13894588477,51683.727247013376,598.94121329167,52282.668460305045
2025-03-05,82840.94879588476,112.36776666666701,82953.31656255142,51722.788660360035,567.6847157000021,52290.473376060036
2025-03-06,82228.74032777776,189.10675000000037,82417.84707777777,51276.52624314055,763.3480235500016,52039.87426669055
2025-03-07,81422.11849290122,0.0,81422.11849290122,50713.321600658484,0.0,50713.321600658484
2025-03-08,80513.91427710699,0.0,80513.91427710699,50055.452938120914,0.0,50055.452938120914
2025-03-09,79813.49854899998,135.7494833333334,79949.24803233331,49533.78779662587,745.0065959666672,50278.794392592536
2025-03-10,78998.3255065,1029.3251000000005,80027.6506065,48961.575237522695,2753.6258783749995,51715.2011158977
2025-03-11,79223.71904816666,142.56524999999965,79366.28429816666,49075.6085356727,487.88394311666525,49563.49247878936
2025-03-12,79253.66001483332,226.02380000000062,79479.68381483332,49090.6462703877,775.9877198583366,49866.63399024603
2025-03-13,78456.49393416666,1381.9773666666674,79838.47130083333,48501.001087698154,4911.335570300002,53412.33665799815
2025-03-14,78183.01664433333,0.0,78183.01664433333,48250.536463798795,0.0,48250.536463798795
2025-03-15,77517.06644183333,9.053333333333399,77526.11977516666,47772.882338487514,19.356026666666803,47792.23836515418
2025-03-16,76964.134511,139.87499999999977,77104.009511,47335.48163162109,566.3575047416659,47901.83913636276
2025-03-17,76574.1944425,172.06406666666658,76746.25850916667,47052.11760006758,855.1087898166663,47907.22638988424
2025-03-18,76606.5037425,98.57998333333342,76705.08372583333,47071.46876797424,282.7199363083335,47354.18870428258
2025-03-19,76627.2480425,63.91388333333339,76691.16192583332,47082.85410900924,181.91033011666624,47264.76443912591
2025-03-20,76168.54896666665,207.40089999999987,76375.94986666665,46749.81156530499,1030.6857076166661,47780.49727292165
2025-03-21,75815.07044135801,0.0,75815.07044135801,46516.870670620054,0.0,46516.870670620054
2025-03-22,75099.75872695472,9.078333333333376,75108.83706028806,46035.45766834849,19.409476666666755,46054.86714501516
2025-03-23,74302.08422962962,218.15648333333354,74520.24071296296,45437.16992817573,958.9384188833351,46396.10834705907
2025-03-24,73582.44741460905,187.95671666666647,73770.40413127572,44976.033127768045,466.6919437083326,45442.72507147638
2025-03-25,73615.16813127571,445.18311666666654,74060.35124794238,44991.23849309471,1748.0668825500006,46739.30537564471
2025-03-26,73856.0850845679,154.80059999999958,74010.8856845679,45146.33808569932,471.061907116665,45617.39999281598
2025-03-27,73039.6135436214,279.62941666666643,73319.24296028806,44616.66588718053,867.4187655833325,45484.08465276386
2025-03-28,72674.99405596706,0.0,72674.99405596706,44373.12688779889,0.0,44373.12688779889
2025-03-29,72188.71290020575,0.0,72188.71290020575,44014.33260739248,0.0,44014.33260739248
2025-03-30,71628.96600308642,312.2751999999997,71941.24120308642,43649.80451589078,880.0159010999996,44529.82041699078
2025-03-31,71166.62945349794,131.9739833333333,71298.60343683127,43273.737466601524,358.1674149333333,43631.90488153486
2025-04-01,71215.37198683128,912.5840333333326,72127.95602016461,43299.08483916319,2457.990377266665,45757.075216429854
2025-04-02,71487.36750349792,665.6734333333336,72153.04093683125,43440.41922150485,2791.2893591250013,46231.70858062986
2025-04-03,70798.7370201646,327.3102833333339,71126.04730349794,42960.61050446652,1053.8207427416685,44014.43124720819
2025-04-04,70171.23123065842,0.0,70171.23123065842,42512.3928445429,0.0,42512.3928445429
2025-04-05,69415.6978855967,0.0,69415.6978855967,41988.813073762154,0.0,41988.813073762154
2025-04-06,68911.82726666666,231.6495166666665,69143.47678333333,41640.143442550005,906.159802249999,42546.3032448
