date,initial_plan_kwh,executed_grid_kwh,emergency_kwh,total_grid_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,charge_kwh,discharge_kwh,battery_throughput_kwh,up_adjust_kwh,down_adjust_kwh,emergency_day,price_mean,price_min,price_max,price_range,price_std
2025-02-01,93429.28859569615,90170.67618579663,0.0,90170.67618579663,59395.01843862276,-976.3704130617748,0.0,58418.648025560986,24474.49093599108,19824.337658152777,44298.82859414386,359.2521414722224,3617.864551371739,0,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-02,93013.98304266117,90604.95297030365,13.789651388888956,90618.74262169254,58750.41665189426,-797.8143122859091,85.85586733194467,58038.45820694029,24727.391308762002,20029.18696009722,44756.57826885922,9.655611111111057,2418.6856834686228,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-03,95562.53238888888,90804.17765593278,145.0575666666666,90949.23522259945,60470.27568131819,-1700.816263378062,662.6321263166667,59432.0915442568,24528.80961591221,19868.335788888886,44397.14540480109,0.0,4758.3547329561015,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-04,97679.91239583332,93284.39318235597,74.05790972222232,93358.45109207819,62395.5796822361,-1652.8651329799334,245.02853587638936,60987.743085132555,25064.090159465017,20301.913029166666,45366.00318863169,0.0,4395.519213477368,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-05,92742.84375982509,91928.62392637173,24.201163888889084,91952.82509026062,58761.72436063056,-229.93125336875715,112.13879798472357,58643.93190524652,24452.991406035664,19806.92303888889,44259.91444492455,102.71259444444465,916.9324278978045,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-06,98267.08830138888,91719.06337222221,19.80902916666662,91738.87240138887,62633.72605929402,-2471.3541309914563,105.75077096249994,60268.12269926506,24833.333333333332,20115.0,44948.33333333333,0.0,6548.024929166662,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-07,94385.3950288923,89899.31591114539,0.0,89899.31591114539,59972.692875450666,-1575.9451794603021,0.0,58396.747695990365,24189.64790294924,19593.61480138889,43783.26270433813,70.39387500000046,4556.472992746914,0,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-08,86001.55528223576,87069.76657932648,0.0,87069.76657932648,53672.87581746682,1186.704137272469,0.0,54859.57995473929,24529.604050548696,19868.979280944444,44398.58333149314,1081.4135109795973,13.202213888888991,0,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-09,93405.08508194443,92365.72532232903,11.187437499999874,92376.91275982904,59036.70783862444,-382.8163095314525,54.49400806249938,58708.38553715549,24363.933874982846,19734.78643873611,44098.72031371896,4.126791430555613,1043.4865510459567,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-10,88767.52914999999,84481.78809814455,155.9196027777777,84637.70770092233,55678.15593494472,-151.55009239202604,526.8229431951386,56053.428785747834,24045.85935426955,19477.146076958332,43523.00543122788,1921.0984139917714,6206.8394658472225,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-11,89682.09669125514,85502.49807938957,24.52791388888908,85527.02599327845,56695.34691189259,-1629.1945120417913,74.868913521529,55141.02131337234,23927.58878772291,19381.346918055555,43308.935705778465,0.0,4179.598611865565,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-12,89814.88468055555,85307.13506980453,28.202454458334614,85335.33752426287,56505.9492984968,-1577.727178268744,153.11888935821463,55081.34100958627,23796.05298230453,19274.802915666663,43070.855897971196,0.0,4507.749610751025,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-13,84346.8667236111,81547.80963755914,58.11487361111134,81605.92451117025,52353.97471950027,-695.2052013931755,289.25946407291815,51948.02898218001,23299.017843878595,18872.204453541664,42171.22229742026,325.1861924897073,3124.243278541662,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-14,86884.20855190328,85753.76184198611,0.0,85753.76184198611,54108.225898860124,86.18597383588636,0.0,54194.41187269601,23088.55084722222,18701.72618625,41790.27703347222,586.2433828189346,1716.6900927361107,0,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-15,88290.5040494513,83777.32752250598,0.0,83777.32752250598,54966.396657073456,-1481.737944291203,0.0,53484.65871278225,23462.19740368655,19004.379896986105,42466.57730067265,37.62457576388988,4550.801102709196,0,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-16,89877.46801388887,83784.58734904166,268.18470555555484,84052.77205459721,56350.59278370708,-2153.6483130553056,1012.2823372569414,55209.226807908715,23063.174623611114,18681.171445125,41744.346068736115,0.0,6092.880664847217,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-17,88958.54734994855,81115.43587779491,139.80606388888833,81255.2419416838,55275.42614698615,-2485.867063321464,611.0675731263866,53400.62665679107,22475.023998628254,18204.76943888889,40679.793437517146,92.44295138888856,7935.554423542526,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-18,80233.65361973594,81480.23513553172,294.5529736111102,81774.78810914283,49758.786033814285,990.6080832218369,1294.3861127861069,52043.78022982223,23453.264414591897,18997.144175819438,42450.40859041133,1246.5815157957798,0.0,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-19,80714.37768411916,81010.8734148462,326.18348194444565,81337.05689679064,50128.41726120714,412.729895305971,1303.6002305062557,51844.74738701937,23310.37323924897,18881.402323791663,42191.77556304063,457.65111822702477,161.1553874999995,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-20,83279.41539027778,81076.06427087808,240.7872722222242,81316.8515431003,51333.96486079221,59.876915624612934,1184.8409703361253,52578.68274675295,22663.59739058642,18357.513886375003,41021.11127696143,852.6149888888895,3055.96610828858,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-21,81369.59173940329,81414.27522693758,0.0,81414.27522693758,50313.39229082767,900.5163720196189,0.0,51213.908662847294,22773.436925548696,18446.48390969445,41219.920835243145,1157.3224912355975,1112.6390037013052,0,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-22,82807.39319058642,82066.74628057887,0.0,82066.74628057887,51237.133080496904,13.033869563940357,0.0,51250.16695006085,23240.47714924554,18824.786490888888,42065.26364013443,395.47145633333196,1136.1183663408747,0,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-23,81437.41613174707,79489.17841264558,492.12760555555553,79981.30601820112,50182.815213086986,-638.5044822156254,1717.6934188715272,51262.00414974288,23457.37003053841,19000.46972473611,42457.83975527452,107.56243888888835,2055.8001579903926,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-24,77723.81582933813,78754.51544948558,230.2336250000003,78984.74907448557,48302.9413039102,880.2881453889092,1183.8444806708344,50367.07392996994,22857.56085365226,18514.624291458334,41372.18514511059,1502.6270312585693,471.9274111111106,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-25,80392.9759449861,75375.99432108333,213.7383486111122,75589.73266969444,49488.6424565491,-1512.3485274846091,919.828449479867,48896.12237854436,22296.378961111106,18060.0669585,40356.445919611106,251.57500480624458,5268.556628709017,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
2025-02-26,73882.11549657065,76139.3340252915,442.3785041666656,76581.71252945816,45027.442761471946,2116.8532772014714,1839.3649627236068,48983.66100139703,22925.335044735944,18569.521386236112,41494.85643097205,2257.2185287208504,0.0,1,0.7661972222222223,0.3713,1.3952,1.0239,0.3132920983382326
